regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
85,0.035389782625913996,8982950.11214421,317904.6518082133,2210550.515569317,alto,bajo,alto,bajo,alto,bajo,alto,8540.767837968655,5106092.398752128,-53337.0929252645,-7052015.920150004,44.73993814131245,20542.911190254614,-20278.29740670696
25,0.00013304568291856066,2357314747.828948,313630.550478897,-394959734.8698735,bajo,bajo,alto,alto,bajo,bajo,alto,2225315.1108882697,-1354456961.3332264,7307490.609892856,1888466366.7439578,-1978470.248968001,3508576.9264555,2484719.960555707
0,0.006074454447539114,50373324.81797585,305990.46697788587,-10957008.653933033,bajo,bajo,bajo,bajo,bajo,bajo,bajo,24753.83015065949,-29812859.023670934,274071.5181500947,39095431.292384245,26372.739524100154,-280934.1587779012,-33999.999953851424
48,0.00144990952986985,209966220.15788034,304432.0235576617,21037743.3699289,bajo,alto,alto,bajo,bajo,bajo,bajo,434784.0218782444,145215723.66109702,1573034.860468735,-150164543.44744298,244203.94310629938,1425203.648018866,1214963.8971263962
96,0.0007453702439972703,321545550.2683785,239670.4852597778,-40412514.50085643,alto,alto,bajo,bajo,bajo,bajo,bajo,-57543.703488133775,-220232996.07100418,1125041.400732278,230768611.97492045,-172302.19269999934,477343.94209853,-343748.67884390516
4,0.005788964121185274,35546953.24556796,205780.03695604336,7219365.3351125475,bajo,bajo,bajo,bajo,alto,bajo,bajo,-8943.820536628831,21274997.75200437,-367075.2454509778,-27544361.368039876,-19767.132964350516,54229.157424461795,105455.73005699168
23,0.008398246100485778,23922210.2999304,200904.6093663912,-3307584.7671478936,bajo,bajo,alto,bajo,alto,alto,alto,-47420.37805750308,-14413475.592952693,6758.944259737153,18803338.699761786,-2250.992760844878,33585.311779755284,121557.80479607015
29,9.89899335728513e-05,2007769938.3251414,198749.01282437352,-140472149.7997869,bajo,bajo,alto,alto,alto,bajo,alto,-1368671.4810383075,-1375625917.9806309,-7875021.853044834,1455651431.6954684,2762651.0248485357,-1668474.212414612,8101745.364829012
118,0.0166268400194635,11881661.846240774,197554.49068280868,-7243962.310846195,alto,alto,alto,bajo,alto,alto,bajo,1129.5915700188489,-8046063.660550204,-2179.0233102018246,4894842.310987769,-388.35128190164687,-12141.858525462216,11090.028227291747
21,0.018240622467766966,10824013.424213426,197436.74245711867,-2733649.4286109516,bajo,bajo,alto,bajo,alto,bajo,alto,-20612.780410273932,-6143785.315458134,-109525.86300553149,8474137.814763788,-17660.55600129254,-320846.952352901,116799.99787294422
81,0.04198808458358982,4678410.45948547,196437.49408962723,-1134228.1684160247,alto,bajo,alto,bajo,bajo,bajo,alto,-6098.848272746429,-2647377.446203427,56657.09238038212,3686279.270898343,3023.9107526033185,17675.297781831585,14829.073407165706
68,0.009122321674449787,21241536.347372264,193772.12742024695,-4252589.472077729,alto,bajo,bajo,bajo,alto,bajo,bajo,9355.728618910769,-12476648.166950595,83991.5174716704,16656253.431111231,1887.0531441422645,104810.72685180604,-51868.88601576886
